Samples,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Prec_Mean,Prec_Std,Recall_Mean,Recall_Std
5,0.5239602169981916,0.03780542231839638,0.473136041791552,0.05564489392922314,0.5725423374198844,0.048208902110390785,0.5239602169981916,0.03780542231839636
6,0.5747371283538796,0.037042565436944085,0.5411138786656273,0.049406563608018435,0.6636666796630594,0.03968640776897109,0.5747371283538796,0.0370425654369441
7,0.6172300981461287,0.047876067362455386,0.5837227446472076,0.051048727192394304,0.6860510615018944,0.043685715337264286,0.6172300981461287,0.047876067362455386
8,0.6368895772594753,0.03581915564831407,0.605829726483232,0.038060581219840184,0.7000691284171057,0.03146698913930037,0.6368895772594753,0.03581915564831406
9,0.6409846547314578,0.047772919722600546,0.6203113796041428,0.057791048071764654,0.7078739081777798,0.05336188904533142,0.6409846547314578,0.047772919722600525
10,0.6798992673992674,0.024637912068170648,0.6666360965801357,0.0260310160704494,0.732550222512754,0.028029913630344735,0.6798992673992674,0.02463791206817064
11,0.6999632757987515,0.031800380521221396,0.6796699868850096,0.035121066860078536,0.7451216554783417,0.021544419107933734,0.6999632757987515,0.031800380521221354
12,0.7060935198821797,0.03736875341561848,0.6880998188063641,0.04873361424848943,0.7589683952248569,0.03346960412714972,0.7060935198821797,0.03736875341561848
13,0.7335271317829457,0.04197188785613953,0.7173209486302864,0.048973987246158084,0.7686730244644833,0.040367197296447554,0.7335271317829457,0.04197188785613954
14,0.7854829755736491,0.03509135694765161,0.7775491899895777,0.03797653798862176,0.810173543819001,0.029065731189193818,0.7854829755736491,0.03509135694765158
15,0.7856679035250465,0.03604367655150312,0.7792460766377581,0.035714093587825485,0.8201726067562218,0.027301851787732874,0.7856679035250465,0.03604367655150315
16,0.8008742559523809,0.02627167109003111,0.7941986308022998,0.030227963713451912,0.8299728750355078,0.020983815742157075,0.8008742559523809,0.026271671090031118
17,0.7943397985826184,0.027455038694638417,0.7851006245032359,0.032438959094792136,0.8153952729913939,0.028700175190291964,0.7943397985826184,0.027455038694638476
18,0.799644727000748,0.02707793758542113,0.7947806264251154,0.02613202976289662,0.8310528107088019,0.018660136591028442,0.7996447270007478,0.02707793758542114
19,0.8081177352830896,0.036039291689861176,0.7996614584210917,0.0389645282123217,0.8300428715330912,0.022059334070818764,0.8081177352830896,0.036039291689861204
20,0.8218045112781955,0.025984080194227637,0.8153107152908443,0.027775521064389606,0.845971138300817,0.018396924299973385,0.8218045112781954,0.02598408019422766
21,0.8424896343761779,0.0261060546873103,0.8367105457407411,0.026927935741322906,0.8575209037701552,0.02258006075539949,0.842489634376178,0.026106054687310275
22,0.877125850340136,0.020123108516694986,0.8734023690531731,0.021479639668690736,0.8875261358526629,0.01574184821386177,0.877125850340136,0.020123108516694913
23,0.847622205380826,0.025566947480344174,0.8434086488870587,0.027491214951218125,0.8628961377195803,0.021402776216749048,0.847622205380826,0.025566947480344254
24,0.8748575227963526,0.012598204275474877,0.87293443158948,0.012776033211165955,0.8876233745653423,0.008677737123355971,0.8748575227963525,0.012598204275474856
25,0.8691428571428572,0.018450645079640872,0.8653156767381749,0.01893110613641598,0.8799774513827463,0.014974438338091551,0.8691428571428572,0.018450645079640844
26,0.8899923605805958,0.01583222442785538,0.8886278718783416,0.015498308335722787,0.8991049337088848,0.011050500583384621,0.8899923605805958,0.015832224427855323
27,0.8775852163921869,0.026909275901157808,0.8732017353942141,0.0313099484076379,0.8905098003559233,0.018724419609499558,0.8775852163921869,0.026909275901157815
28,0.9073060675883257,0.017921996987649135,0.9054135520760698,0.018607923823649543,0.912433058756318,0.016455133203343058,0.9073060675883255,0.017921996987649173
29,0.8965633423180592,0.023282532392730045,0.8938777800789297,0.024285556092594553,0.9024736744632877,0.021642315626450456,0.8965633423180592,0.02328253239273006
30,0.9079633204633204,0.012732443239070546,0.9063712886382571,0.013473949161257612,0.9155220680763146,0.00966541863336791,0.9079633204633204,0.012732443239070558
