label,SNR_dB,Acc_2Nm_mean,Acc_2Nm_std,F1_2Nm_mean,F1_2Nm_std,Acc_4Nm_mean,Acc_4Nm_std,F1_4Nm_mean,F1_4Nm_std,eval_repeats
0,0,0.8693,0.005653318,0.867576292,0.005484064,0.8213,0.007580237,0.813427645,0.009245339,5
-2,-2,0.7191,0.008702873,0.704743564,0.010176137,0.7119,0.008083316,0.700418274,0.008087655,5
-4,-4,0.4362,0.005801724,0.384837288,0.007021788,0.3915,0.008049845,0.348911409,0.010268398,5
-6,-6,0.2723,0.002158703,0.182791516,0.003954583,0.2249,0.0026533,0.115688279,0.004853833,5
-8,-8,0.2095,0.000447214,0.08560051,0.000897078,0.2024,0.000489898,0.071665284,0.001006679,5
-10,-10,0.2004,0.000374166,0.067536006,0.000779472,0.2002,0.000244949,0.067093468,0.000500512,5
