label,SNR_dB,Acc_2Nm_mean,Acc_2Nm_std,F1_2Nm_mean,F1_2Nm_std,Acc_4Nm_mean,Acc_4Nm_std,F1_4Nm_mean,F1_4Nm_std,tta_k_reported,eval_repeats
0,0,0.9905,0.00181659,0.990491241,0.001818259,0.985,0.002167948,0.984966882,0.002180959,1,5
-2,-2,0.9883,0.001208305,0.988255862,0.001223974,0.9778,0.00256125,0.97767304,0.002563115,1,5
-4,-4,0.9275,0.001788854,0.924682005,0.002095206,0.9092,0.002227106,0.904431007,0.002765397,1,5
-6,-6,0.7746,0.008679862,0.760751398,0.009521909,0.7581,0.004465423,0.74229967,0.00474987,1,5
-8,-8,0.5872,0.002694439,0.537755217,0.004398265,0.5604,0.005379591,0.511769576,0.00775135,1,5
-10,-10,0.4377,0.004512206,0.371822757,0.004543257,0.4232,0.0016,0.356097557,0.001047785,1,5
