Samples,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Prec_Mean,Prec_Std,Recall_Mean,Recall_Std
5,0.32875226039783,0.05333159474705048,0.31949657511457075,0.04687637430551104,0.3351158242638093,0.06433202313641571,0.32875226039783,0.05333159474705048
6,0.3643038433647571,0.05683451822893761,0.3619329524927954,0.05686936872198174,0.38032042227374946,0.0590337930895521,0.3643038433647571,0.05683451822893765
7,0.38027081061432205,0.04914249752939832,0.3776539444752123,0.04742778981401261,0.3897475137688907,0.05031705019494206,0.38027081061432205,0.04914249752939831
8,0.4045645043731778,0.04055085892865341,0.39524325623747447,0.04199818102236882,0.40836222855897575,0.0474565365787704,0.40456450437317787,0.04055085892865344
9,0.43852758494702226,0.03498713577718683,0.4324810433998288,0.035704080108948884,0.442844601895254,0.03799721641831527,0.4385275849470223,0.03498713577718684
10,0.4625457875457875,0.06063868574304372,0.4596451590178091,0.060145545546013646,0.4727640059912222,0.0622252663601726,0.46254578754578757,0.06063868574304372
11,0.49664891663606314,0.034276655504917146,0.4953811158672215,0.03282294994246983,0.5063418094125689,0.031690346607591666,0.4966489166360632,0.03427665550491718
12,0.5154639175257731,0.039130315722941865,0.5141674562439744,0.04120765883232567,0.5309506656332333,0.046495736157976614,0.5154639175257731,0.039130315722941865
13,0.5027685492801772,0.050323666744193855,0.4999598586043336,0.05069215465574657,0.5061772714209106,0.051700779685242754,0.5027685492801772,0.05032366674419383
14,0.545198001480385,0.02275146601062653,0.5382184123516331,0.02460059019114022,0.5614963708997827,0.02660164282954539,0.545198001480385,0.022751466010626508
15,0.5413729128014841,0.021251750206379292,0.536621798819479,0.02156312332857705,0.5494010737025549,0.02575069688758492,0.5413729128014843,0.02125175020637931
16,0.54296875,0.01893761979795297,0.5380468513037262,0.017182219570051595,0.5527706360342972,0.021562012862986372,0.54296875,0.01893761979795294
17,0.5546904140246177,0.02203312185057786,0.551316196262122,0.022684797308007147,0.565450745795914,0.022109415469939785,0.5546904140246177,0.0220331218505779
18,0.5744670905011219,0.03116915553644309,0.5727952041100747,0.031552772346318196,0.5864971069360598,0.039583662371175374,0.574467090501122,0.0311691555364431
19,0.6064398200224972,0.015365002748721067,0.601040089677652,0.018104010668355524,0.6285376413655337,0.019187608382281476,0.6064398200224972,0.015365002748721098
20,0.6019266917293233,0.01935126183447649,0.5993162208047957,0.01774317020284312,0.6189961087178635,0.02462752560322304,0.6019266917293233,0.019351261834476507
21,0.611100640784018,0.02686134816434695,0.6093073212102464,0.029547028686205498,0.6253199309385461,0.03078658464366334,0.6111006407840182,0.026861348164347
22,0.6105914588057446,0.017024574467706027,0.6068224293985502,0.01839172183794755,0.622948646657619,0.014797172058608114,0.6105914588057446,0.01702457446770606
23,0.6108374384236452,0.03001761104928588,0.5993431151580455,0.028187842005036254,0.643782556642977,0.026996422602976352,0.6108374384236452,0.03001761104928585
24,0.6829407294832828,0.042415580249245605,0.6798725550005389,0.04117400094071531,0.7091826089340583,0.04690379471041855,0.6829407294832828,0.0424155802492456
25,0.6481428571428571,0.028641145101824476,0.6449083723260973,0.027328226594596616,0.666630198541421,0.02842799477973469,0.6481428571428571,0.02864114510182447
26,0.6593773873185638,0.03937347700737776,0.6562031381627595,0.038380148678874335,0.6759798339571474,0.04681850928941235,0.6593773873185638,0.03937347700737778
27,0.6838376101110686,0.05342711906311496,0.6827030936371189,0.052361393887054436,0.7004013114924237,0.05178633827960993,0.6838376101110686,0.05342711906311493
28,0.6910042242703534,0.04185600897465603,0.6852491983401899,0.04095503193173858,0.7225748194952919,0.03817624386389077,0.6910042242703534,0.04185600897465603
29,0.7031189834424336,0.05710741495217137,0.700391710152367,0.05633110389165343,0.7281253577874987,0.05673081249404723,0.7031189834424336,0.05710741495217137
30,0.7361003861003861,0.037787572001714634,0.7322964891840891,0.03822886832097156,0.7582310271635904,0.03726222583313955,0.7361003861003861,0.03778757200171464
