label,SNR_dB,Acc_2Nm_mean,Acc_2Nm_std,F1_2Nm_mean,F1_2Nm_std,Acc_4Nm_mean,Acc_4Nm_std,F1_4Nm_mean,F1_4Nm_std,tta_k_reported,eval_repeats
0,0,0.9964,0.001529706,0.9963968,0.001532999,0.9961,0.001827567,0.996097957,0.001828156,1,5
-2,-2,0.951,0.005639149,0.951147545,0.00538807,0.951,0.003860052,0.951031247,0.003811504,1,5
-4,-4,0.802,0.004857983,0.799708032,0.005194601,0.8081,0.003498571,0.806266798,0.003594592,1,5
-6,-6,0.695,0.003911521,0.665778377,0.005625984,0.6971,0.005842944,0.668662426,0.008284464,1,5
-8,-8,0.6538,0.003203123,0.598791348,0.005414516,0.6472,0.005679789,0.594364021,0.007744786,1,5
-10,-10,0.6069,0.001933908,0.550063588,0.002652756,0.5771,0.008493527,0.530723182,0.00778289,1,5
