label,SNR_dB,Acc_2Nm_mean,Acc_2Nm_std,F1_2Nm_mean,F1_2Nm_std,Acc_4Nm_mean,Acc_4Nm_std,F1_4Nm_mean,F1_4Nm_std,tta_k_reported,eval_repeats
0,0,0.9811,0.004487761,0.98098857,0.004554421,0.9061,0.003307567,0.90315536,0.003765029,1,5
-2,-2,0.6793,0.004142463,0.621942847,0.004778155,0.6777,0.004545327,0.624502745,0.007021935,1,5
-4,-4,0.4629,0.002634388,0.376610847,0.002602608,0.4413,0.003249615,0.348861845,0.003837412,1,5
-6,-6,0.3874,0.001356466,0.261976085,0.001979955,0.3859,0.002853069,0.262903217,0.002020171,1,5
-8,-8,0.3263,0.003091925,0.195656366,0.0013489,0.3264,0.001593738,0.197663138,0.001130176,1,5
-10,-10,0.2637,0.004214262,0.140578506,0.003287374,0.2618,0.003529873,0.139405539,0.002393541,1,5
