N,Run,Acc_2Nm,F1_2Nm,Prec_2Nm,Recall_2Nm,Acc_4Nm,F1_4Nm,Prec_4Nm,Recall_4Nm,TrainTime_s,Test2_Infer_s,Test2_Viz_s,Test4_Infer_s,Test4_Viz_s
16,1,0.9335,0.932410421,0.949428206,0.9335,0.8985,0.896293045,0.921341296,0.8985,211.9722538,4.8403282,3.2343754,4.0648005,3.137103
16,2,0.9335,0.933912424,0.942627017,0.9335,0.905,0.905503588,0.92302221,0.905,205.805416,4.7493386,3.251865,4.6019429,3.1785669
16,3,0.8625,0.855500821,0.901754386,0.8625,0.786,0.769456855,0.860703187,0.786,204.5356462,4.3397914,3.3380125,4.3266642,3.1321562
16,4,0.8705,0.855525781,0.921081794,0.8705,0.8595,0.843002177,0.905097378,0.8595,209.2099446,4.6327432,3.2980446,3.8022871,3.1915486
16,5,0.5155,0.432142885,0.725435062,0.5155,0.491,0.393471005,0.717522335,0.491,212.3159433,4.7913134,3.3306231,4.3263393,3.2311993
16,6,0.973,0.972919215,0.976100442,0.973,0.9715,0.97145,0.974528938,0.9715,203.3681527,4.7400187,3.3467818,4.555378,3.2550011
16,7,0.982,0.982050462,0.983046729,0.982,0.9555,0.954595875,0.958931435,0.9555,205.3581622,4.9721148,3.1499801,4.338411,3.2588223
16,8,0.7385,0.718044554,0.886673889,0.7385,0.7095,0.684942533,0.869235737,0.7095,203.7451554,5.8141562,3.3952466,4.8303348,3.2964975
16,9,0.986,0.98598776,0.98674646,0.986,0.8955,0.891153975,0.919306324,0.8955,214.5655604,4.3810698,3.4873038,4.2609594,3.2227826
16,10,0.797,0.751656859,0.884372762,0.797,0.774,0.725206853,0.86917851,0.774,224.840539,5.1932886,3.2593929,4.8297072,3.2004803
17,1,0.6145,0.505082847,0.813395274,0.6145,0.608,0.490321096,0.613414172,0.608,219.5936882,5.342868,3.4813423,4.4392044,3.2941078
17,2,0.88,0.872041964,0.916376067,0.88,0.861,0.852871645,0.898027752,0.861,222.9399959,5.2444766,3.4803242,4.4885367,3.4169883
17,3,0.857,0.836285825,0.916289568,0.857,0.83,0.79829433,0.906660029,0.83,220.4690729,5.1277556,3.432855,4.8561982,3.374837
17,4,0.586,0.491939073,0.822699687,0.586,0.5675,0.46219773,0.618735067,0.5675,228.8334401,4.7556789,3.4061636,4.3606723,3.3573767
17,5,0.7845,0.721769194,0.695886789,0.7845,0.737,0.680233269,0.678732255,0.737,219.5147829,5.2617755,3.365277,4.3255915,3.3207755
17,6,0.9995,0.999499999,0.999501247,0.9995,0.9965,0.996502992,0.996544335,0.9965,233.803217,5.253898,3.376101,4.7636165,3.3352415
17,7,0.8715,0.856712507,0.921765601,0.8715,0.848,0.830058252,0.913636364,0.848,220.4002483,5.5074942,3.4521093,4.2658748,3.2625142
17,8,0.994,0.99399865,0.994174757,0.994,0.9505,0.949556444,0.954824019,0.9505,236.1423024,5.0483846,3.2087485,4.427236,3.239082
17,9,0.9595,0.959161014,0.963039466,0.9595,0.9415,0.939573296,0.948413376,0.9415,234.2004245,4.9906417,3.4239083,4.2561789,3.3496848
17,10,0.993,0.9929893,0.993079745,0.993,0.986,0.986008274,0.986241259,0.986,216.2802351,4.8538319,3.4621586,4.317429,3.3281241
18,1,0.954,0.953215431,0.960477935,0.954,0.9625,0.962031286,0.965402065,0.9625,227.4715299,5.0908131,3.4699106,4.5056468,3.3458925
18,2,0.996,0.995992211,0.99604931,0.996,0.9945,0.994490287,0.994541721,0.9945,225.0230344,4.6173689,3.3615183,4.5648892,3.4701074
18,3,0.958,0.957768228,0.965289256,0.958,0.951,0.950783056,0.957840207,0.951,220.2021561,4.7750471,3.4441497,4.2497266,3.3303871
18,4,0.918,0.914953567,0.94135373,0.918,0.909,0.907583107,0.929411303,0.909,231.9391029,4.9054562,3.3528295,4.5755423,3.2713602
18,5,0.778,0.72713352,0.870471636,0.778,0.754,0.698789227,0.857501081,0.754,241.2468955,4.6847358,3.418651,4.7823506,3.2839567
18,6,0.7795,0.724492106,0.866720085,0.7795,0.722,0.667848109,0.820869431,0.722,224.2677608,4.6403725,3.5305486,4.7454533,3.3559938
18,7,0.7925,0.744609808,0.890155904,0.7925,0.7785,0.733737244,0.885592039,0.7785,227.7053454,4.8430905,3.4700758,4.3716904,3.2409508
18,8,0.8135,0.802489249,0.877066818,0.8135,0.667,0.596216984,0.830410968,0.667,234.8149735,5.055024,3.5745493,4.5613972,3.4040298
18,9,0.9175,0.913834605,0.94159292,0.9175,0.916,0.912536299,0.939393089,0.916,236.8529939,4.9822509,3.2476096,4.3535334,3.297448
18,10,0.2125,0.090983037,0.240567951,0.2125,0.21,0.086302768,0.240424457,0.21,217.6963293,4.8308187,3.8987221,4.4504707,3.758743
19,1,0.7095,0.662277795,0.829170694,0.7095,0.685,0.630528549,0.821350683,0.685,242.1818941,4.7780409,3.6050511,4.4318859,3.3291234
19,2,0.8465,0.823347364,0.911358424,0.8465,0.817,0.789151747,0.898390211,0.817,226.907268,5.3923478,3.4357363,4.6704962,3.3984375
19,3,0.82,0.776975568,0.901642325,0.82,0.8145,0.76811398,0.889433088,0.8145,229.7496334,4.7319189,3.4504789,4.3873064,3.2430465
19,4,0.6835,0.653496629,0.821702289,0.6835,0.6355,0.604441878,0.799842152,0.6355,234.0699633,5.6868457,3.4591644,4.4079174,3.320473
19,5,0.757,0.719405419,0.867298539,0.757,0.6885,0.629453972,0.830963375,0.6885,233.5933179,5.0515006,3.3805507,4.6609508,3.3399951
19,6,0.8775,0.866779798,0.914262611,0.8775,0.88,0.870792558,0.912658082,0.88,218.3543725,5.0530708,3.3270747,4.4689188,3.2971266
19,7,0.908,0.901101164,0.931536388,0.908,0.8915,0.881857049,0.918579191,0.8915,230.2987028,4.7723582,3.4107912,4.4069463,3.3516376
19,8,0.9645,0.96449849,0.96985138,0.9645,0.8795,0.878873964,0.917817842,0.8795,226.660694,4.6678621,3.367592,4.7169305,3.2377886
19,9,0.9125,0.910583754,0.926255665,0.9125,0.9155,0.913123847,0.929876187,0.9155,233.8508055,5.0062104,3.3878108,4.6053401,3.2821726
19,10,0.6115,0.52367675,0.867969414,0.6115,0.605,0.511170624,0.867226891,0.605,217.1558243,4.4575394,3.270376,4.4551144,3.2553921
20,1,0.9345,0.931302747,0.945212453,0.9345,0.9185,0.912817975,0.934195026,0.9185,257.8151598,4.6614353,3.4492271,4.0037243,3.4220839
20,2,0.991,0.991016136,0.99138756,0.991,0.982,0.98210283,0.983204987,0.982,251.3069285,4.9947985,3.5278748,4.8813609,3.3772832
20,3,0.945,0.944900476,0.946055249,0.945,0.929,0.928981378,0.929138176,0.929,279.4853598,4.9351639,3.5196826,4.8816437,3.3904691
20,4,0.999,0.998999994,0.999004975,0.999,0.99,0.989987648,0.990292133,0.99,290.1839392,5.7521467,6.2480158,27.613604,17.5699584
20,5,0.8015,0.73664517,0.900376412,0.8015,0.8005,0.735045976,0.899751873,0.8005,1221.965776,5.0460585,3.426829,5.0919891,9.4098232
20,6,0.9075,0.901623008,0.92778698,0.9075,0.897,0.890083651,0.918989595,0.897,654.3379167,26.4097286,17.6531665,23.3785622,16.4752595
20,7,0.9665,0.965920735,0.968142962,0.9665,0.9545,0.95395204,0.956900589,0.9545,570.0160708,4.9485313,3.668885,4.387995,3.6217972
20,8,0.856,0.835045603,0.915619323,0.856,0.854,0.834208827,0.91394456,0.854,1010.004502,26.5096017,16.0213555,16.4277371,8.3681511
20,9,0.8915,0.883007711,0.929371377,0.8915,0.8805,0.869650973,0.924004054,0.8805,1406.203246,22.5980878,16.3350894,21.5523117,16.0509218
20,10,0.939,0.937644831,0.953256705,0.939,0.8715,0.87377579,0.921765601,0.8715,482.8065409,4.6017076,3.410845,4.6899371,3.2728639
21,1,0.9985,0.998501236,0.998511166,0.9985,0.935,0.932457787,0.943914281,0.935,257.6076375,4.8978209,3.4988836,4.7863533,3.3535788
21,2,0.844,0.829046515,0.869229988,0.844,0.831,0.810191124,0.864860305,0.831,262.59194,5.080476,3.3591465,4.4959452,3.3511325
21,3,0.975,0.974966787,0.976567286,0.975,0.9615,0.960975566,0.964597754,0.9615,729.8486348,24.4503085,16.9559297,24.3389839,8.0942355
21,4,0.982,0.98202556,0.982380364,0.982,0.9465,0.94549274,0.948919928,0.9465,1018.258855,5.2824186,3.4360736,4.6142701,3.3443419
21,5,0.9955,0.995501168,0.995518368,0.9955,0.9925,0.992498582,0.992645688,0.9925,275.0895392,6.0219126,3.5937232,5.5454056,3.3983141
21,6,0.9385,0.937401264,0.949708275,0.9385,0.929,0.927460425,0.942618255,0.929,300.0012421,6.9194973,3.4036157,5.0582218,3.7892178
21,7,0.955,0.954423168,0.963265306,0.955,0.948,0.947223015,0.957519829,0.948,279.4226353,5.2653291,3.6796378,4.4449763,3.6770323
21,8,0.919,0.915815462,0.940955625,0.919,0.913,0.910431723,0.932938324,0.913,292.5910698,4.9492134,3.567308,4.8959917,3.4032232
21,9,0.922,0.921271956,0.943884892,0.922,0.8925,0.894829941,0.929546891,0.8925,318.0742677,5.6112378,3.6212518,4.9000859,3.7562802
21,10,0.8135,0.764115833,0.901697531,0.8135,0.768,0.713493011,0.867987036,0.768,295.0627693,5.5537287,3.6374262,4.9466743,3.5924517
22,1,0.9165,0.914036699,0.936728476,0.9165,0.888,0.883683373,0.917617013,0.888,311.3393836,5.6951392,3.5750565,5.5038798,3.4254746
22,2,0.9935,0.993491989,0.993633063,0.9935,0.9885,0.988510215,0.9887308,0.9885,291.062061,5.0955915,3.344992,5.3376641,3.4192059
22,3,0.6745,0.654273073,0.805172887,0.6745,0.7145,0.693758228,0.825631226,0.7145,304.4237739,6.0576668,3.588829,4.9704777,3.3720079
22,4,0.864,0.863890482,0.897551689,0.864,0.817,0.812594759,0.879769469,0.817,281.7298009,5.0831014,3.7637609,4.6111506,3.6989288
22,5,0.998,0.997997469,0.99800995,0.998,0.9925,0.992493537,0.992535417,0.9925,268.3971221,6.0858731,3.5367405,4.8812155,3.4625666
22,6,0.8895,0.882730474,0.919299509,0.8895,0.8825,0.876311919,0.911095127,0.8825,288.1446242,5.2780565,3.9209883,5.1414978,3.6106939
22,7,0.813,0.766845821,0.898829436,0.813,0.8125,0.766026829,0.899009863,0.8125,308.4111658,5.8795462,3.7799156,5.174629,3.4756359
22,8,0.7065,0.635852635,0.835147866,0.7065,0.727,0.658716776,0.647660995,0.727,297.0992282,6.8013271,3.5474954,5.077339,3.3536626
22,9,0.8115,0.797015861,0.882769556,0.8115,0.791,0.771491589,0.868328482,0.791,284.013342,5.3422471,3.5507762,4.7510553,3.339365
22,10,0.821,0.780866767,0.904825081,0.821,0.7815,0.737371259,0.880844387,0.7815,290.5632182,6.2969889,3.695106,5.5184266,3.3393126
23,1,0.992,0.991996799,0.992307692,0.992,0.964,0.963718161,0.969352627,0.964,322.7824773,5.668187,3.5444391,5.1809362,3.409213
23,2,0.937,0.935035486,0.950890489,0.937,0.9145,0.909989072,0.933932521,0.9145,319.5548713,4.8367366,3.4361756,4.7138518,3.2372817
