N,Run,Acc_2Nm,F1_2Nm,Prec_2Nm,Recall_2Nm,Acc_4Nm,F1_4Nm,Prec_4Nm,Recall_4Nm,TrainTime_s,Test2_Infer_s,Test2_Viz_s,Test4_Infer_s,Test4_Viz_s
5,1,0.8805,0.8707250797601318,0.9174621634447911,0.8805,0.845,0.8312946682216872,0.887462581396996,0.845,53.550707900000006,2.3190136000000052,6.295218300000002,1.8702273999999903,5.389823899999996
5,2,0.935,0.9334499016248197,0.9417899024004737,0.9349999999999999,0.8925,0.8914482725010716,0.9015924166361533,0.8925000000000001,35.36664759999999,2.0348862999999966,6.380659499999993,1.874932699999988,6.102524099999982
5,3,0.656,0.6367898269423351,0.7047556675062973,0.656,0.451,0.4088391412688089,0.6807509808964357,0.45099999999999996,38.31257579999999,2.075392500000021,5.860619799999995,1.7447210999999925,5.436373500000002
5,4,0.75,0.7180246380237414,0.7361823023783156,0.75,0.573,0.513830924070756,0.6934391063530224,0.5730000000000001,41.77550120000001,2.059285899999992,6.010223599999989,1.6820062000000178,5.483212100000003
5,5,0.4695,0.4152542701513281,0.5561843758152228,0.46950000000000003,0.4715,0.4163429984478289,0.5625803133232357,0.4715000000000001,51.396133599999985,2.209362999999996,6.462401100000022,1.8549853000000098,5.9701187000000004
5,6,0.522,0.49422252655890003,0.5542147690000526,0.522,0.5525,0.528996329161209,0.5794722263687782,0.5525,55.2015753,2.3266481,6.705173300000013,1.9170740999999794,5.975734999999986
5,7,0.8835,0.8806049611929062,0.9027218797003534,0.8835000000000001,0.8585,0.8532644745585921,0.8899604193971167,0.8585,60.31209919999998,2.7302355999999577,7.095144000000005,2.3708866000000057,6.663008300000001
5,8,0.958,0.9572516497623902,0.9584864247615259,0.958,0.962,0.9615913076907792,0.9622305943047211,0.962,65.73421680000007,3.0732973000000356,7.504958600000009,2.606768299999999,7.026789399999984
5,9,0.7365,0.707876499892581,0.8023739056377426,0.7365,0.752,0.7180654643494291,0.8205435871205408,0.752,69.56148439999993,2.8372890000000552,7.453908100000035,2.4794250999999576,7.0096968999999945
5,10,0.8665,0.8603809838938716,0.8887524903568348,0.8664999999999999,0.727,0.6994480976045312,0.768787867561965,0.7270000000000001,71.06767580000007,2.9672118000000864,7.714721000000054,2.5607398999999305,7.201276600000028
6,1,0.77,0.7305200125980807,0.767911757591995,0.77,0.6665,0.623658876238653,0.6725777690234718,0.6665,69.67175889999999,3.0088311999999178,7.438123599999926,2.4914495000000443,6.740505599999892
6,2,0.857,0.8354848181151107,0.9150051666938598,0.857,0.839,0.8098948240511417,0.8940152126283143,0.8390000000000001,70.53556279999998,2.8449309000000085,7.246171600000025,2.7710429999999633,8.061128800000006
6,3,0.9105,0.9068016314955891,0.9259954577535782,0.9105000000000001,0.8665,0.8631291000254409,0.8794354861693335,0.8665,74.62083689999997,2.8216840999999704,7.401015299999926,2.4671879999999646,6.648718300000041
6,4,0.9285,0.925575938902164,0.9427154186131645,0.9285,0.9125,0.9088402377829793,0.9291019166439474,0.9125,77.13203950000002,3.226395299999922,8.4468738999999,2.911276199999975,7.4602925000001505
6,5,0.854,0.8390897480914499,0.8876201201201201,0.8539999999999999,0.8015,0.7910127317116513,0.8188544453980917,0.8015000000000001,78.75251760000015,2.974508799999967,7.480108699999846,2.6568403999999646,7.023524099999804
6,6,0.903,0.8990222089406208,0.9265586203681142,0.9029999999999999,0.879,0.8729463163000755,0.9089770002904501,0.8790000000000001,76.76839960000007,3.1126628999998047,7.950901299999941,2.690551599999935,7.231579000000011
